epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1222.61,2.12024,1.4947,1.15754,0.68208,0.62355,0.61791,0.2273,2.03455,1.39397,1.22006,0.0014588,0.0014588,0.0014588
43,1251.07,2.10096,1.4908,1.1787,0.6459,0.60715,0.59061,0.21805,2.05893,1.44344,1.22215,0.0014456,0.0014456,0.0014456
44,1279.64,2.11197,1.48115,1.15908,0.67171,0.61773,0.61139,0.22703,1.9631,1.45864,1.18767,0.0014324,0.0014324,0.0014324
45,1307.82,2.07645,1.5221,1.15342,0.66665,0.6657,0.61859,0.22579,2.03848,1.42619,1.21461,0.0014192,0.0014192,0.0014192
46,1336.03,2.07985,1.5106,1.16295,0.68464,0.57413,0.59309,0.21625,2.04233,1.42307,1.20845,0.001406,0.001406,0.001406
47,1364.34,2.08254,1.48616,1.14338,0.68602,0.59448,0.61915,0.23347,2.03712,1.42909,1.21694,0.0013928,0.0013928,0.0013928
48,1392.84,2.10436,1.47182,1.15802,0.6936,0.60901,0.63848,0.23799,2.01695,1.43785,1.20132,0.0013796,0.0013796,0.0013796
49,1421.38,2.09972,1.47312,1.15769,0.63755,0.59593,0.57513,0.19904,2.08628,1.47437,1.23627,0.0013664,0.0013664,0.0013664
50,1449.94,2.07465,1.51195,1.15654,0.72051,0.5808,0.64779,0.25236,2.01282,1.42855,1.20762,0.0013532,0.0013532,0.0013532
51,1478.6,2.06749,1.43265,1.15582,0.68975,0.58576,0.61778,0.23248,2.08322,1.38503,1.22886,0.00134,0.00134,0.00134
52,1507.22,2.07969,1.50422,1.13396,0.7559,0.62114,0.67422,0.24635,2.07211,1.36954,1.2134,0.0013268,0.0013268,0.0013268
53,1535.48,2.09035,1.48331,1.14417,0.72659,0.60029,0.63753,0.23557,2.05348,1.37301,1.21492,0.0013136,0.0013136,0.0013136
54,1563.85,2.07504,1.43596,1.14929,0.66978,0.63385,0.62328,0.22671,2.04001,1.38112,1.20511,0.0013004,0.0013004,0.0013004
55,1592.11,2.06053,1.42007,1.1492,0.73877,0.65262,0.65812,0.23589,2.02355,1.37769,1.20417,0.0012872,0.0012872,0.0012872
56,1620.48,2.06112,1.42328,1.15103,0.68579,0.64826,0.65016,0.24036,2.01771,1.34517,1.19655,0.001274,0.001274,0.001274
57,1649.02,2.03275,1.4167,1.12028,0.72491,0.5814,0.66232,0.26491,2.01637,1.36811,1.20311,0.0012608,0.0012608,0.0012608
58,1677.45,2.08045,1.4678,1.14623,0.68354,0.57994,0.62303,0.24116,2.01229,1.37665,1.20247,0.0012476,0.0012476,0.0012476
59,1705.93,2.07521,1.43308,1.12682,0.74732,0.65843,0.68103,0.25065,1.99609,1.37197,1.19961,0.0012344,0.0012344,0.0012344
60,1733.98,2.06288,1.42365,1.1513,0.67703,0.59414,0.6243,0.23596,1.99616,1.38953,1.194,0.0012212,0.0012212,0.0012212
61,1762.44,2.07886,1.48631,1.14385,0.68386,0.57849,0.62247,0.23413,1.99322,1.41326,1.19253,0.001208,0.001208,0.001208
62,1791,2.04634,1.41898,1.14645,0.72621,0.6468,0.67146,0.25604,1.9888,1.32566,1.19214,0.0011948,0.0011948,0.0011948
63,1819.48,2.07802,1.43037,1.14367,0.76892,0.60901,0.69142,0.25508,2.01734,1.34574,1.20127,0.0011816,0.0011816,0.0011816
64,1847.73,2.0294,1.39104,1.13245,0.71494,0.63808,0.67091,0.24962,2.02626,1.34043,1.20249,0.0011684,0.0011684,0.0011684
65,1876.16,2.04458,1.38217,1.13294,0.70051,0.62645,0.64543,0.242,2.05754,1.34122,1.21389,0.0011552,0.0011552,0.0011552
66,1904.47,2.05004,1.41529,1.12345,0.74199,0.6439,0.67745,0.25981,1.98938,1.32777,1.19052,0.001142,0.001142,0.001142
67,1932.91,2.03997,1.39547,1.12543,0.70125,0.67151,0.67586,0.25878,1.98067,1.3621,1.18506,0.0011288,0.0011288,0.0011288
68,1961.86,2.02974,1.4232,1.12388,0.69518,0.60465,0.63998,0.22935,2.01625,1.36739,1.19547,0.0011156,0.0011156,0.0011156
69,1991.02,2.02214,1.38654,1.11572,0.69478,0.59887,0.63737,0.23693,2.01482,1.36242,1.20185,0.0011024,0.0011024,0.0011024
70,2019.58,2.04033,1.42128,1.13341,0.7429,0.62936,0.67885,0.26587,1.9495,1.29978,1.17655,0.0010892,0.0010892,0.0010892
71,2048.36,2.03043,1.33542,1.11347,0.74962,0.65711,0.69963,0.26734,2.01188,1.3244,1.19001,0.001076,0.001076,0.001076
72,2077.06,2.0129,1.36687,1.11344,0.78029,0.62645,0.70097,0.26918,1.98403,1.33716,1.18411,0.0010628,0.0010628,0.0010628
73,2105.48,2.00233,1.35302,1.11258,0.77371,0.63953,0.68878,0.26142,2.00422,1.30567,1.19695,0.0010496,0.0010496,0.0010496
74,2133.73,2.02244,1.36065,1.1087,0.75779,0.63663,0.6952,0.25307,2.04635,1.33782,1.20981,0.0010364,0.0010364,0.0010364
75,2162.22,2.01177,1.34909,1.13664,0.81601,0.66424,0.72803,0.28672,1.95679,1.27954,1.18088,0.0010232,0.0010232,0.0010232
76,2190.63,2.04032,1.37483,1.11934,0.79262,0.63329,0.71016,0.2815,1.97485,1.29168,1.18623,0.00101,0.00101,0.00101
77,2218.83,2.00618,1.33013,1.12238,0.83206,0.68414,0.75057,0.29254,1.96042,1.24113,1.17725,0.0009968,0.0009968,0.0009968
78,2247.2,2.021,1.34594,1.10266,0.79264,0.64451,0.72885,0.28148,1.97719,1.25234,1.18243,0.0009836,0.0009836,0.0009836
79,2275.54,2.03288,1.37033,1.12078,0.77352,0.65527,0.70973,0.27003,2.00068,1.26729,1.19011,0.0009704,0.0009704,0.0009704
80,2303.71,2.00512,1.34208,1.11284,0.71309,0.60029,0.66118,0.2459,1.99656,1.30761,1.19414,0.0009572,0.0009572,0.0009572
81,2332.3,1.99391,1.32782,1.11816,0.75102,0.67151,0.70599,0.2753,1.97268,1.27339,1.18599,0.000944,0.000944,0.000944
82,2360.72,2.02461,1.31163,1.12693,0.72518,0.68459,0.68992,0.25752,1.97404,1.29999,1.18484,0.0009308,0.0009308,0.0009308
83,2389.31,2.00911,1.34815,1.11369,0.79057,0.64742,0.71886,0.28796,1.9552,1.28803,1.18179,0.0009176,0.0009176,0.0009176
84,2417.74,2.00213,1.33532,1.1175,0.75691,0.68605,0.70008,0.25897,2.02204,1.33637,1.19484,0.0009044,0.0009044,0.0009044
