epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,988.282,2.07716,1.44146,1.14332,0.56092,0.62791,0.48447,0.17803,2.05805,1.60139,1.23022,0.0014588,0.0014588,0.0014588
43,1011.73,2.04631,1.43408,1.15944,0.64396,0.60901,0.55485,0.20904,2.03986,1.54732,1.21636,0.0014456,0.0014456,0.0014456
44,1034.99,2.07265,1.44179,1.14181,0.51442,0.64244,0.455,0.17214,1.9562,1.78883,1.17862,0.0014324,0.0014324,0.0014324
45,1058.28,2.03105,1.46488,1.13979,0.65969,0.67339,0.61472,0.22649,2.00361,1.45105,1.2006,0.0014192,0.0014192,0.0014192
46,1081.41,2.02957,1.47536,1.14345,0.63354,0.65082,0.55464,0.206,2.03369,1.52933,1.20854,0.001406,0.001406,0.001406
47,1104.68,2.03803,1.4282,1.12876,0.67764,0.62024,0.61171,0.22877,1.97707,1.43565,1.19324,0.0013928,0.0013928,0.0013928
48,1127.97,2.05542,1.40245,1.14409,0.65604,0.60029,0.56046,0.21441,1.98522,1.46708,1.18478,0.0013796,0.0013796,0.0013796
49,1151.4,2.05971,1.41398,1.1421,0.55541,0.59921,0.47972,0.18,2.01029,1.71144,1.20254,0.0013664,0.0013664,0.0013664
50,1174.56,2.0395,1.4236,1.13872,0.64777,0.6686,0.58398,0.21355,1.97064,1.43213,1.19021,0.0013532,0.0013532,0.0013532
51,1197.92,2.03068,1.35536,1.14188,0.62911,0.61773,0.56377,0.21121,2.0516,1.42578,1.2164,0.00134,0.00134,0.00134
52,1221.48,2.04714,1.46109,1.12279,0.67513,0.5588,0.5823,0.21617,2.04359,1.40186,1.20539,0.0013268,0.0013268,0.0013268
53,1244.79,2.04065,1.40777,1.13138,0.60795,0.64971,0.53081,0.1947,2.06916,1.64854,1.22905,0.0013136,0.0013136,0.0013136
54,1268.05,2.04124,1.39522,1.13655,0.63208,0.63676,0.56957,0.2122,1.97356,1.4317,1.18217,0.0013004,0.0013004,0.0013004
55,1291.2,2.02741,1.36462,1.13865,0.53337,0.61773,0.45739,0.16488,2.03213,1.88061,1.19605,0.0012872,0.0012872,0.0012872
56,1314.34,2.02685,1.40144,1.13912,0.50284,0.60029,0.4265,0.1557,2.03039,2.16018,1.20218,0.001274,0.001274,0.001274
57,1337.72,1.9982,1.37276,1.10621,0.65938,0.64995,0.59469,0.23083,2.00506,1.39676,1.2046,0.0012608,0.0012608,0.0012608
58,1361.16,2.04372,1.44104,1.13258,0.54889,0.66424,0.48835,0.1885,1.9765,1.76144,1.19283,0.0012476,0.0012476,0.0012476
59,1384.67,2.03565,1.39133,1.11753,0.64232,0.61337,0.53801,0.20527,1.96951,1.49536,1.18567,0.0012344,0.0012344,0.0012344
60,1408.28,2.03576,1.39044,1.14114,0.63889,0.6657,0.58755,0.22647,1.97189,1.42018,1.196,0.0012212,0.0012212,0.0012212
61,1431.52,2.03711,1.46809,1.13355,0.63,0.58654,0.55344,0.21849,1.94721,1.49987,1.18472,0.001208,0.001208,0.001208
62,1455.03,2.00948,1.36566,1.13461,0.67872,0.65402,0.58547,0.21931,1.98511,1.50547,1.18919,0.0011948,0.0011948,0.0011948
63,1478.35,2.04007,1.37723,1.12819,0.6551,0.61564,0.56249,0.21923,1.98074,1.44842,1.18352,0.0011816,0.0011816,0.0011816
64,1501.78,2.00091,1.3327,1.11997,0.6356,0.68169,0.56612,0.21521,1.97442,1.65389,1.18037,0.0011684,0.0011684,0.0011684
65,1525.39,2.00537,1.32959,1.12104,0.60536,0.65773,0.52422,0.19481,2.02,1.74896,1.20256,0.0011552,0.0011552,0.0011552
66,1548.74,2.01386,1.38413,1.11097,0.58246,0.64071,0.51458,0.19429,2.01029,1.65938,1.19662,0.001142,0.001142,0.001142
67,1572.08,2.00098,1.36457,1.11808,0.53074,0.66134,0.46673,0.17879,1.95984,1.90463,1.18288,0.0011288,0.0011288,0.0011288
68,1595.62,2.00912,1.37243,1.11723,0.60169,0.64244,0.52457,0.1948,2.0003,1.64356,1.19288,0.0011156,0.0011156,0.0011156
69,1618.93,2.01011,1.33512,1.10875,0.62459,0.61423,0.54669,0.20444,2.00005,1.49492,1.1935,0.0011024,0.0011024,0.0011024
70,1642.64,2.00556,1.38022,1.12042,0.66794,0.66954,0.59356,0.22999,1.94838,1.42738,1.17838,0.0010892,0.0010892,0.0010892
71,1666.14,2.0043,1.28131,1.10362,0.64793,0.66872,0.57384,0.22002,2.00514,1.49948,1.19016,0.001076,0.001076,0.001076
72,1689.67,1.97809,1.32813,1.10472,0.6265,0.63372,0.57644,0.2242,2.01022,1.45105,1.19635,0.0010628,0.0010628,0.0010628
73,1713.21,1.99758,1.32123,1.10898,0.53543,0.64535,0.47107,0.17866,1.98983,1.85636,1.18782,0.0010496,0.0010496,0.0010496
74,1736.68,1.99078,1.31947,1.09413,0.58911,0.6481,0.51611,0.19365,2.03235,1.75059,1.20234,0.0010364,0.0010364,0.0010364
75,1760.27,1.97765,1.29459,1.12069,0.59822,0.67587,0.53571,0.20576,1.97333,1.85467,1.19081,0.0010232,0.0010232,0.0010232
76,1783.85,2.00125,1.3273,1.10677,0.63569,0.65407,0.55384,0.21776,1.95946,1.49026,1.18043,0.00101,0.00101,0.00101
77,1807.33,1.97938,1.28026,1.11765,0.7053,0.69767,0.6311,0.24912,1.97866,1.35457,1.18621,0.0009968,0.0009968,0.0009968
78,1830.91,1.99164,1.30029,1.09679,0.72538,0.68314,0.65692,0.24933,1.96914,1.3515,1.18528,0.0009836,0.0009836,0.0009836
79,1854.59,1.99958,1.33807,1.11201,0.68846,0.65988,0.59717,0.22193,2.02745,1.41607,1.20028,0.0009704,0.0009704,0.0009704
80,1878.18,1.9797,1.26723,1.10832,0.70116,0.6275,0.6116,0.23431,1.98195,1.35004,1.18893,0.0009572,0.0009572,0.0009572
81,1901.73,1.93975,1.28756,1.09935,0.65883,0.65116,0.58967,0.21875,2.00824,1.37699,1.18948,0.000944,0.000944,0.000944
82,1925.18,1.98819,1.29164,1.11595,0.70321,0.68023,0.64649,0.25465,1.95497,1.32728,1.17257,0.0009308,0.0009308,0.0009308
83,1948.8,1.96081,1.30488,1.09948,0.63541,0.63808,0.56949,0.22551,1.95367,1.43845,1.17756,0.0009176,0.0009176,0.0009176
84,1972.19,1.96917,1.29843,1.1083,0.69758,0.67151,0.6321,0.23415,2.00583,1.37165,1.19126,0.0009044,0.0009044,0.0009044
85,1996.3,1.99634,1.28782,1.09646,0.63055,0.65552,0.55442,0.20916,2.01887,1.5194,1.20409,0.0008912,0.0008912,0.0008912
86,2020.31,1.96881,1.27692,1.10669,0.62493,0.68169,0.5663,0.21432,1.98665,1.50525,1.18825,0.000878,0.000878,0.000878
87,2044.36,1.97552,1.31372,1.09531,0.65264,0.65262,0.56685,0.21437,1.98503,1.4464,1.18454,0.0008648,0.0008648,0.0008648
88,2068.92,1.93624,1.2592,1.09803,0.59757,0.68314,0.5305,0.20296,1.9825,1.60027,1.18517,0.0008516,0.0008516,0.0008516
89,2093.39,1.9586,1.29442,1.10309,0.70722,0.68459,0.64582,0.24325,1.96892,1.34215,1.17998,0.0008384,0.0008384,0.0008384
90,2118.06,1.97399,1.25893,1.11427,0.65159,0.69186,0.59722,0.23297,1.94714,1.45435,1.17546,0.0008252,0.0008252,0.0008252
91,2142.67,1.975,1.25655,1.10192,0.71059,0.66134,0.61438,0.23643,1.95564,1.34601,1.17623,0.000812,0.000812,0.000812
