area_640_px2,aspect_ratio
584.375,1.29411764706
750,1.875
875,1.4
850,1.88235294118
893.75,1.18181818182
1148.4375,1.66666666667
1237.5,1.63636363636
525,1.3125
646.875,1.27777777778
825,2.0625
187.5,1.2
1425,1.58333333333
475,1.1875
664.0625,1.47058823529
564.0625,1
421.875,1.2
173.838617836,1.01208981002
800.381969619,2.32185309357
304.6875,1.15384615385
262.5,1.16666666667
284.375,1.07692307692
300,1.33333333333
203.125,1.3
240.625,1.27272727273
356.25,1.58333333333
284.375,1.07692307692
206.25,1.09090909091
325,1.23076923077
1078.125,1.30434782609
227.076694548,1.43007903718
1006.25,1.21739130435
478.125,1.05882352941
1437.5,1.73913043478
871.875,1.72222222222
324.498753294,1.06269430052
1937.5,1.29032258065
712.5,1.26315789474
375,1.66666666667
1031.25,1.36363636364
584.375,1.29411764706
281.25,1.8
318.75,1.41666666667
945.247484482,1.56536557283
534.375,1.05555555556
825,2.0625
687.5,1.1
446.875,1.69230769231
326.5625,1.72727272727
825,1.09090909091
1031.25,1.36363636364
1000,1.6
467.1875,1.76923076923
721.875,1.04761904762
522.602344869,1.15222532217
1237.5,1.375
273.071495517,1.35464328418
544.694335886,1.20933767065
263.655237051,1.12775721688
350,1.14285714286
234.375,1.5
264.0625,1
1474.36877752,1.42035654694
1137.5,1.07692307692
1178.125,1.11538461538
304.6875,1.15384615385
196.875,1.55555555556
318.75,1.41666666667
451.5625,1
415.625,1.35714285714
875,1.4
875,1.4
343.75,1.81818181818
790.625,1.04545454545
712.5,1.26315789474
468.75,1.33333333333
750,1.2
304.6875,1.15384615385
351.5625,1
356.25,1.58333333333
446.875,1.69230769231
825,1.09090909091
492.1875,1.4
525,1.3125
468.75,1.33333333333
233.23347893,1.0023742395
253.514651011,1.0843819393
1100,1.45454545455
664.0625,1.47058823529
1134.375,1.5
590.625,1.92857142857
425,1.0625
393.75,1.28571428571
1546.875,1.1
609.375,1.73333333333
584.375,1.29411764706
1443.75,1.90909090909
562.5,1.11111111111
765.625,2.5
273.4375,3.57142857143
750,1.2
351.5625,1
445.3125,1.26666666667
203.125,1.3
284.375,1.07692307692
264.0625,1
885.9375,1.28571428571
771.875,1.36842105263
590.625,1.16666666667
585.9375,1.66666666667
781.25,1.25
675,1.33333333333
437.5,1.42857142857
593.75,1.05263157895
450,2
1031.25,1.65
1223.4375,1.07407407407
1375,1.81818181818
898.4375,1.08695652174
240.625,1.27272727273
717.1875,1.58823529412
483.126492069,1.30604919383
625,1
564.0625,1
431.25,1.91666666667
503.125,1.64285714286
771.875,1.36842105263
467.1875,1.76923076923
481.25,1.57142857143
406.25,1.53846153846
875,1.4
475,1.1875
718.75,1.15
478.125,1.05882352941
742.1875,1.31578947368
500,1.25
173.838617836,1.01208981002
151.384463032,1.40627215708
1031.25,1.36363636364
1171.875,1.2
500,1.25
350,1.14285714286
300,1.33333333333
531.25,1.17647058824
425,1.0625
1139.0625,1
481.25,1.57142857143
928.125,1.22727272727
334.639339334,1.43138415988
531.25,1.17647058824
754.6875,1.09523809524
820.3125,1.19047619048
787.5,1.14285714286
1259.375,1.19230769231
687.5,1.1
1096.875,1.03846153846
721.875,1.04761904762
492.1875,1.4
468.75,1.33333333333
262.5,1.16666666667
218.75,1.4
449.083096076,1.06242430915
843.75,1.35
862.5,1.04347826087
